#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 600  14
# Band-Index    1
   1.24976     -9.646282  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.25797     -9.632591  0.444  0.012  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.26618     -9.618486  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.27439     -9.603952  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.28260     -9.588998  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.29080     -9.573626  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.29901     -9.557835  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.476
   1.30722     -9.541631  0.442  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.478
   1.31543     -9.525014  0.440  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.478
   1.32364     -9.507985  0.440  0.014  0.014  0.008  0.000  0.000  0.000  0.000  0.000  0.478
   1.33185     -9.490546  0.440  0.016  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.478
   1.34006     -9.472698  0.440  0.016  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.34827     -9.454443  0.440  0.016  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.35647     -9.435785  0.440  0.016  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.36468     -9.416692  0.438  0.016  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.37289     -9.397230  0.438  0.016  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.38110     -9.377370  0.438  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.38931     -9.357115  0.438  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.39752     -9.336466  0.438  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.40573     -9.315425  0.436  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.41393     -9.293997  0.436  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.42214     -9.272183  0.436  0.018  0.018  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.43035     -9.249992  0.436  0.020  0.020  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.43856     -9.227416  0.436  0.020  0.020  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.44677     -9.204463  0.434  0.020  0.020  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.45498     -9.181137  0.434  0.020  0.020  0.006  0.000  0.000  0.000  0.000  0.000  0.480
   1.46319     -9.157441  0.434  0.020  0.020  0.006  0.000  0.000  0.000  0.000  0.000  0.480
